doi	title	journal	year	publisher	authors	url	publication_type	nature_portfolio	query_ids	sources
10.1016/j.jid.2018.03.815	805 A catalog of potential putative functional variants in psoriasis genome-wide association regions	Journal of Investigative Dermatology	2018	Elsevier BV	Yin, X.	https://doi.org/10.1016/j.jid.2018.03.815	journal-article	false	gpn_msa	crossref
10.4038/jnsfsr.v46i1.8264	A mathematical model with control to analyse the dynamics of dengue disease transmission in urban Colombo	Journal of the National Science Foundation of Sri Lanka	2018	Sri Lanka Journals Online (JOL)	Wickramaarachchi, WPTM; Perera, S.S.N.	https://doi.org/10.4038/jnsfsr.v46i1.8264	journal-article	false	genomic_foundation_model	crossref
10.1186/s12864-018-4640-y	A modified sequence capture approach allowing standard and methylation analyses of the same enriched genomic DNA sample	BMC Genomics	2018	Springer Science and Business Media LLC	Olohan, Lisa; Gardiner, Laura-Jayne; Lucaci, Anita; Steuernagel, Burkhard; Wulff, Brande; Kenny, John; Hall, Neil; Hall, Anthony	https://doi.org/10.1186/s12864-018-4640-y	journal-article	false	regulatory_genomics	crossref
10.1101/gr.226852.117	"A novel
                    <i>k</i>
                    -mer set memory (KSM) motif representation improves regulatory variant prediction"	Genome Research	2018	Cold Spring Harbor Laboratory	Guo, Yuchun; Tian, Kevin; Zeng, Haoyang; Guo, Xiaoyun; Gifford, David Kenneth	https://doi.org/10.1101/gr.226852.117	journal-article	false	alphagenome	crossref
10.1142/s1793524518500948	A novel SNP-set analytical method without distinguishing common variants or rare variants in genome-wide association study	International Journal of Biomathematics	2018	World Scientific Pub Co Pte Ltd	Wang, Xinzeng; Wang, Shudong; Meng, Xinzhu	https://doi.org/10.1142/s1793524518500948	journal-article	false	gpn_msa	crossref
10.1016/j.compbiomed.2018.03.016	A novel wavelet sequence based on deep bidirectional LSTM network model for ECG signal classification	Computers in Biology and Medicine	2018	Elsevier BV	Yildirim, Özal	https://doi.org/10.1016/j.compbiomed.2018.03.016	journal-article	false	caduceus	crossref
10.15252/msb.20188430	A resource of variant effect predictions of single nucleotide variants in model organisms	Molecular Systems Biology	2018	Springer Science and Business Media LLC	Wagih, Omar; Galardini, Marco; Busby, Bede P; Memon, Danish; Typas, Athanasios; Beltrao, Pedro	https://doi.org/10.15252/msb.20188430	journal-article	false	variant_effect	crossref
10.1158/2159-8290.cd-rw2018-126	A Sequence-Based Model Predicts Gene Expression from Genomic Variants	Cancer Discovery	2018	American Association for Cancer Research (AACR)		https://doi.org/10.1158/2159-8290.cd-rw2018-126	journal-article	false	enformer;genomic_foundation_model;omnireg_gpt	crossref
10.1126/scisignal.aat0936	A switch-variant model integrates the functions of an autoimmune variant of the phosphatase PTPN22	Science Signaling	2018	American Association for the Advancement of Science (AAAS)	Vang, Torkel; Nielsen, Jimmi; Burn, Garth L.	https://doi.org/10.1126/scisignal.aat0936	journal-article	false	variant_effect	crossref
10.3389/fnbot.2018.00046	Acquisition of Viewpoint Transformation and Action Mappings via Sequence to Sequence Imitative Learning by Deep Neural Networks	Frontiers in Neurorobotics	2018	Frontiers Media SA	Nakajo, Ryoichi; Murata, Shingo; Arie, Hiroaki; Ogata, Tetsuya	https://doi.org/10.3389/fnbot.2018.00046	journal-article	false	sequence_to_function	crossref
